S1,S2,pvalue,down,name,up,w
600375,600104,0.019137042671047468,-13.803809400080484,"{600104, 600375}",-10.375947412534464,3.7272370798416445
600270,600072,0.02033433715030557,-2.026316504302394,"{600072, 600270}",0.2043441155831598,2.1966840829990453
600020,600074,0.020495328783449528,0.28029087516023704,"{600074, 600020}",0.5863093376125932,0.9918952422572966
600212,600398,0.02301851812801325,0.9839818920928928,"{600212, 600398}",1.3834617811864773,0.746506495232548
600598,600108,0.023504105005592052,-0.9104242585657004,"{600108, 600598}",0.11551089540940784,0.3787850423699406
600615,600048,0.02355323408501964,2.932835822965819,"{600048, 600615}",6.522894484255005,2.0846800852534315
600156,600081,0.02372792199836497,-0.836437241016466,"{600081, 600156}",0.0151965870863075,1.287795559754358
600004,600009,0.02396509350608412,-2.493680781243199,"{600009, 600004}",-1.6045450030936792,1.810184624860638
600258,600266,0.024305475807789582,-7.587875765425904,"{600266, 600258}",-2.9161828599164643,1.2286462538976914
600270,600029,0.024356384855493542,-2.4219555228233514,"{600029, 600270}",-1.5832749524808758,0.9062969629374287
600221,600008,0.024551397258605,2.8721476403399566,"{600008, 600221}",3.4753721775448603,0.651946080709285
600601,600077,0.024883569485498917,-3.8862986851848977,"{600601, 600077}",-2.783024351450045,2.461096661571074
600183,600071,0.024931960984056343,0.31163896176046213,"{600071, 600183}",1.1252504374475212,0.6450555134497883
600037,600007,0.024954958022457605,-2.046731265624521,"{600037, 600007}",-0.5043464116631995,0.9832886829488516
600196,600079,0.025296662267072226,-3.707825461267311,"{600196, 600079}",-2.413119324798962,0.7751343018667246
600102,600010,0.026367357531391432,1.0648734846188872,"{600010, 600102}",1.4686942609758837,0.2515180920694978
600270,600219,0.026739772741480008,-7.4665976919739325,"{600219, 600270}",-5.109089806667285,2.085141386277167
600416,600268,0.028622443168440738,6.883744020713825,"{600416, 600268}",8.685737938967335,0.44464519778195033
600150,600219,0.029925146596498694,0.3674383951653769,"{600219, 600150}",1.9602030817142126,0.14002566042822293
600106,600039,0.030144121244279468,-0.056831192633482575,"{600106, 600039}",0.6121115965650343,0.8904171017916163
600020,600098,0.03126790364311504,1.2038482828743247,"{600098, 600020}",1.623057697178635,1.3471399333784513
600527,600063,0.03130213487327177,-2.775385827527517,"{600063, 600527}",-1.2684376919704534,1.7685572086060346
600156,600393,0.03164776377680481,-1.5838172791638625,"{600393, 600156}",-0.6102382217447954,1.7599473485254031
600567,600308,0.03255372318116024,-4.22983910150652,"{600308, 600567}",-2.7731724826604465,3.450123143778693
600219,600075,0.032701246927951136,2.3366554176206775,"{600075, 600219}",3.292255534927183,0.47935638996819674
600270,600009,0.03629076397121738,2.4219642998117115,"{600009, 600270}",4.032138799540434,1.4088399465517556
600393,600197,0.03666561379264017,2.2512255397764833,"{600393, 600197}",3.191186907126155,0.8040503815386748
600229,600141,0.038492745650678964,-2.7943132676233025,"{600141, 600229}",0.13038079773961897,2.6970132963121256
600621,600070,0.03872235653896618,-0.39898976963901,"{600621, 600070}",0.17708372489013202,0.8114653548665218
