S1,S2,pvalue
600004,600270,0.013240297977969391
600004,600009,0.02396509350608412
600270,600009,0.03629076397121738
600375,600104,0.01913704267104747
600010,600569,0.04632483136877221
600567,600121,0.0010378845937700576
600035,600033,5.4401455708382335e-05
600350,600033,0.04924041802139971
600000,600026,0.013125301590523941
600567,600083,0.0006842662874057559
600106,600512,0.010723638195272412
600106,600039,0.03014412124427947
600258,600266,0.02430547580778958
600008,600393,0.012311308533317477
600008,600007,0.00819278768560619
600016,600177,0.008892688479749764
600102,600117,0.018524359831389503
600150,600219,0.029925146596498694
600270,600219,0.026739772741480008
600270,600026,0.049346228979965476
600500,600026,4.756951752812213e-05
600255,600103,0.010237750425857811
600130,600242,1.541921710665789e-05
600115,600008,0.011655311226199365
600115,600270,0.04278105854175152
600221,600008,0.024551397258604998
600221,600270,0.01718840619070951
600008,600270,0.008324819083860967
600008,600029,0.0025103006086383086
600270,600029,0.024356384855493542
600088,600037,0.008717400123857131
600102,600010,0.026367357531391432
600010,600102,0.012464328237412363
600103,600012,6.503811532870074e-06
600098,600012,0.003205628829031143
600037,600007,0.024954958022457605
600320,600000,0.007661384914294482
600010,600569,0.04632483136877221
600010,600102,0.012464328237412363
600598,600020,0.010423040716742209
600598,600350,0.007886226118013838
600598,600017,0.014402555887899043
600615,600048,0.02355323408501964
600376,600067,0.011381226167948998
600263,600051,0.04551480048413284
600400,600156,9.469502161494626e-05
600393,600067,0.013262188375716645
600266,600067,0.011115780538868095
600393,600322,0.0023673573922479143
600393,600020,0.039970155074930236
600322,600177,0.0030902764082477597
600322,600020,0.0034147182020309143
600258,600358,0.04769444622139918
600358,600012,0.010192186262273396
600074,600229,0.0009100737507984198
600074,600055,0.004991255464382114
600229,600055,0.012215058843472218
600085,600535,0.042648722119888356
600085,600056,0.0064733137552513914
600535,600056,0.014772689662421325
600303,600197,0.014292820810380141
600156,600278,0.006047774270201036
600156,600281,0.0023148628475197436
600527,600302,0.04264653621456135
600527,600063,0.03130213487327177
600177,600156,0.01551437528418411
600456,600156,0.014080441350258316
600393,600322,0.0023673573922479143
600393,600067,0.013262188375716645
600322,600067,0.007013466160916077
600177,600156,0.01551437528418411
600375,600156,0.014484411255869216
600375,600068,0.004923472362504185
600020,600156,0.0067981343612198404
600103,600020,3.179550990767805e-05
600308,600069,0.0005086823284404352
600621,600070,0.038722356538966184
600270,600035,0.006581997487979495
600020,600156,0.0067981343612198404
600183,600071,0.024931960984056343
600012,600156,0.008524145903554768
600219,600150,0.021360804964637436
600270,600072,0.020334337150305574
600171,600601,0.0045005033479116946
600621,600375,0.006240008710182919
600375,600073,0.00843578770840116
600103,600393,0.007095307657521425
600103,600020,3.179550990767805e-05
600103,600074,0.0031979636621407765
600393,600197,0.03666561379264017
600393,600020,0.039970155074930236
600393,600074,0.016977559820676735
600020,600074,0.020495328783449528
600229,600219,4.384125814738604e-05
600229,600108,0.0032256919267012467
600229,600075,0.018296167155525404
600219,600075,0.032701246927951136
600215,600076,0.005200336852772883
600566,600071,0.00823593095123067
600566,600601,0.015587237140412363
600566,600077,0.001567602464021474
600071,600077,0.013647703299886496
600573,600077,0.00010561367598855203
600601,600077,0.024883569485498913
600470,600229,0.014258478604407418
600229,600141,0.03849274565067896
600229,600226,0.0016903627804155173
600103,600020,3.179550990767805e-05
600196,600079,0.025296662267072226
600103,600156,0.0002603889242907273
600103,600393,0.007095307657521425
600156,600393,0.03164776377680481
600156,600080,0.004402399501518429
600393,600080,0.006857991829494063
600006,600080,0.015106147387804131
600393,600012,0.019037891500417205
600012,600156,0.008524145903554768
600156,600081,0.02372792199836497
600212,600398,0.02301851812801325
600063,600083,0.04321859624561298
600098,600113,0.0051289801829878835
600332,600085,0.007146625408182635
600007,600037,0.0421691053270501
600203,600087,0.0073579097621244705
600037,600088,0.012558440865697452
600416,600268,0.028622443168440738
600197,600303,0.010743022429036173
600197,600172,0.048411563194290894
600229,600172,0.0019223851185847934
600229,600091,0.005236431269608243
600127,600108,0.010717876490775909
600598,600359,0.0061228137100095
600598,600108,0.023504105005592055
600598,600093,0.004629272124307778
600197,600095,0.017237941877407726
600229,600095,0.008389441253293455
600409,600227,0.04590622205338727
600512,600172,0.0016595125442198334
600156,600012,0.008641082909542505
600156,600020,0.006066652542916012
600156,600021,0.00292994709340747
600020,600098,0.03126790364311504
600156,600566,1.4977521304094635e-07
600156,600099,0.003970679580406178
600566,600099,0.004065495224252967
600021,600452,0.009972184432946294
600021,600116,0.003709971012932114
600452,600116,0.0009180465175005491
600116,600101,0.00013533948742071574
600010,600569,0.04632483136877221
600010,600117,0.012777824516857852
600010,600102,0.012464328237412363
600117,600019,0.0017490438695228312
600567,600308,0.03255372318116024
600567,600235,0.0028945273991020344
600012,600103,1.3799386458609437e-05
600166,600104,0.03935459374347264
600375,600104,0.01913704267104747
